name,rating,Total Rating,Company Info,Highly Rated For,Critically Rated For
Vishal Mega Mart,3.8,(2.8k),Retail | Gurgaon/Gurugram +332 other locations,Salary & Benefits,"Company Culture, Job Security"
Jubilant Foods Works,3.8,(2.8k),Hospitality | Noida +216 other locations,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
Escorts Kubota Limited,4.1,(2.8k),Engineering & Construction | Faridabad +137 other locations,"Skill Development / Learning, Work Life Balance, Company Culture",
Johnson Controls,3.6,(2.8k),Industrial Automation | Cork +51 other locations,,"Promotions / Appraisal, Work Satisfaction, Job Security"
UBS,4.0,(2.7k),Financial Services | Zurich +20 other locations,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal
Ipca Laboratories,4.0,(2.7k),Pharma | Mumbai +140 other locations,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Glenmark Pharmaceuticals,4.0,(2.7k),Pharma | Mumbai +147 other locations,Skill Development / Learning,Promotions / Appraisal
Reliance Digital,4.2,(2.7k),Retail | Mumbai +324 other locations,"Skill Development / Learning, Job Security, Company Culture",
Indian Air Force,4.6,(2.7k),Defence & Aerospace | New Delhi +126 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",
Wipro Infotech,4.0,,IT Services & Consulting | Bangalore +128 other locations,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Synechron,3.6,(2.7k),IT Services & Consulting | New York +28 other locations,Salary & Benefits,"Job Security, Promotions / Appraisal"
Birlasoft,3.6,(2.7k),IT Services & Consulting | Pune +38 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Aarti Industries,4.2,(2.7k),Agro Chemicals | Mumbai +47 other locations,"Job Security, Work Life Balance, Skill Development / Learning",
24/7 Customer,3.5,(2.7k),Software Product | San Jose +30 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Kotak Mahindara Life Insurance,3.8,(2.7k),Insurance | Mumbai +227 other locations,Job Security,Promotions / Appraisal
PNB MetLife,3.4,(2.7k),Insurance | Mumbai +353 other locations,,"Job Security, Work Satisfaction, Company Culture"
Honda Motorcycle & Scooter,4.1,(2.7k),Automobile | Gurgaon/Gurugram +243 other locations,"Job Security, Work Life Balance, Company Culture",
MRF Tyres,3.7,(2.6k),Auto Components | Chennai +174 other locations,Job Security,"Company Culture, Work Satisfaction, Work Life Balance"
Hindustan Coca Cola Beverages,4.2,(2.6k),Beverage | Bangalore +229 other locations,"Skill Development / Learning, Salary & Benefits, Job Security",
Paras Hospital,4.5,(2.6k),Healthcare | Gurgaon/Gurugram +51 other locations,"Skill Development / Learning, Work Life Balance, Company Culture",
JK Cement,4.1,(2.6k),Building Material | Gurgaon / Gurugram +264 other locations,"Salary & Benefits, Job Security, Company Culture",
DTDC Express,3.8,(2.6k),Logistics | Bangalore/Bengaluru +240 other locations,,"Promotions / Appraisal, Salary & Benefits"
Reliance Nippon Life Insurance,3.7,(2.6k),Insurance | Mumbai +448 other locations,,"Promotions / Appraisal, Job Security, Work Satisfaction"
KPIT Technologies,3.5,(2.6k),Software Product | Pune +33 other locations,,"Promotions / Appraisal, Work Satisfaction, Job Security"
Ceat Tyres,4.0,(2.6k),Auto Components | Mumbai +119 other locations,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
HARMAN,3.8,(2.6k),Consumer Electronics & Appliances | Stamford +31 other locations,Work Life Balance,Promotions / Appraisal
NatWest Group,4.1,(2.6k),Banking | Ludhiana +22 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
UnitedHealth,4.1,(2.6k),Healthcare | Minnetonka +15 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
ABB,4.1,(2.6k),Industrial Automation | Zurich +96 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
GeBBS Healthcare Solutions,3.7,(2.6k),Healthcare | Culver City +20 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Conduent,3.5,(2.6k),BPO | Florham Park +25 other locations,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
IGT Solutions,3.3,(2.6k),IT Services & Consulting | Gurgaon/Gurugram +41 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Kyndryl,4.0,(2.6k),IT Services & Consulting | New York City +28 other locations,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal
InterGlobe Aviation,3.6,(2.6k),Aviation | Gurgaon/Gurugram +91 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
State Street Corporation,3.8,(2.5k),Financial Services | Boston +25 other locations,Job Security,Promotions / Appraisal
CMS IT Services,3.1,(2.5k),IT Services & Consulting | Bangalore +144 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Aditya Birla Sun Life Insurance,4.1,(2.5k),Insurance | Mumbai +394 other locations,"Company Culture, Job Security, Work Life Balance",
TVS Credit,4.4,(2.5k),NBFC | Chennai +336 other locations,"Company Culture, Job Security, Skill Development / Learning",
RSPL Group,4.1,(2.5k),FMCG | Kanpur +212 other locations,"Job Security, Work Life Balance, Skill Development / Learning",
Alstom Transportation,3.8,(2.5k),Engineering & Construction | Saint-Ouen +67 other locations,Job Security,Promotions / Appraisal
ArcelorMittal Nippon Steel,4.1,(2.5k),Iron & Steel | Surat +74 other locations,"Job Security, Skill Development / Learning, Work Life Balance",
Motilal Oswal Financial Services,3.8,(2.4k),Financial Services | Mumbai +137 other locations,Skill Development / Learning,
Sahrudaya Healthcare (Medicover Hospitals),4.6,(2.4k),Healthcare | Hyderabad/Secunderabad +40 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",
ACC,3.9,(2.4k),Building Material | Mumbai +232 other locations,,Promotions / Appraisal
Titan Company,4.4,(2.4k),Retail | Bangalore +153 other locations,"Job Security, Company Culture, Work Life Balance",
Tata AIG,4.1,(2.4k),Insurance | Mumbai +234 other locations,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
Reliance SMSL,4.0,,BPO | Mumbai +504 other locations,"Skill Development / Learning, Work Life Balance, Salary & Benefits",Promotions / Appraisal
PepsiCo,4.1,(2.4k),Food Processing | Harrison +240 other locations,"Company Culture, Work Life Balance, Salary & Benefits",
IDFC FIRST Bharat,4.5,(2.4k),NBFC | Tiruchirappalli +325 other locations,"Salary & Benefits, Job Security, Company Culture",
UPL,4.1,(2.4k),Agro Chemicals | Mumbai +168 other locations,"Job Security, Skill Development / Learning, Work Life Balance",
S&P Global,4.2,(2.4k),Analytics & KPO | New York City +36 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Grasim Industries,4.0,(2.4k),Building Material | Nagda +156 other locations,"Job Security, Skill Development / Learning, Work Life Balance",
Tata Technologies,3.7,(2.4k),Engineering & Construction | Singapore +47 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Shoppers Stop,4.1,(2.4k),Retail | Mumbai +73 other locations,"Job Security, Company Culture, Skill Development / Learning",
Tata Capital,4.1,(2.4k),NBFC | Mumbai +240 other locations,"Job Security, Company Culture, Skill Development / Learning",
Torrent Pharmaceuticals,3.9,(2.4k),Pharma | Ahmedabad +106 other locations,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
Zensar Technologies,3.7,(2.4k),IT Services & Consulting | Pune +24 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
Amazon Transportation Services,4.2,(2.4k),Seattle +199 other locations,"Salary & Benefits, Company Culture, Skill Development / Learning",
Varroc Group,3.7,(2.4k),Auto Components | Aurangabad +58 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Mankind Pharma,3.9,(2.4k),New Delhi +214 other locations,Salary & Benefits,
Afcons Infrastructure,4.3,(2.4k),Engineering & Construction | Mumbai +103 other locations,"Job Security, Skill Development / Learning, Company Culture",
UNO Minda,4.0,(2.3k),Auto Components | Gurgaon +91 other locations,"Job Security, Skill Development / Learning, Company Culture",
Dilip Buildcon,4.0,(2.3k),Engineering & Construction | Bhopal +203 other locations,"Skill Development / Learning, Work Satisfaction",
Croma,4.0,(2.3k),Retail | Mumbai +162 other locations,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
Walmart,3.9,(2.3k),Retail | Bangalore/Bengaluru +84 other locations,"Salary & Benefits, Job Security",Promotions / Appraisal
Bajaj Allianz General Insurance,3.9,(2.3k),Insurance | Aurangabad +240 other locations,"Skill Development / Learning, Salary & Benefits",Promotions / Appraisal
ElasticRun,3.5,(2.3k),Logistics | Pune +357 other locations,,"Job Security, Promotions / Appraisal, Work Satisfaction"
Flex,4.0,(2.3k),Logistics | Austin +40 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Tech Mahindra Business Services,3.4,,Mumbai +50 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Capita,3.6,(2.3k),IT Services & Consulting | Indore +26 other locations,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Statestreet HCL Services,3.3,(2.3k),BPO | New Delhi +16 other locations,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
I Process Services,3.9,(2.3k),Mumbai +337 other locations,"Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
GATI-KWE,4.0,(2.3k),Logistics | Hyderabad/Secunderabad +154 other locations,"Skill Development / Learning, Job Security",Promotions / Appraisal
Societe Generale Global Solution Centre,3.9,(2.3k),IT Services & Consulting | Paris +17 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
HDFC Sales,4.0,(2.3k),Financial Services | Mumbai +294 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
Nokia,4.2,(2.3k),Telecom | Espoo +155 other locations,"Work Life Balance, Company Culture, Work Satisfaction",
MSN Laboratories,3.8,(2.2k),Hyderabad/Secunderabad +79 other locations,Job Security,Company Culture
Apollo Tyres,4.0,(2.2k),Auto Components | Gurgaon/Gurugram +151 other locations,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal
Sammaan Capital Limited,3.8,(2.2k),NBFC | Gurgaon/Gurugram +190 other locations,,"Promotions / Appraisal, Job Security"
Nestle,4.0,(2.2k),FMCG | Vevey +251 other locations,"Salary & Benefits, Skill Development / Learning, Job Security",Promotions / Appraisal
Landmark Group,4.0,(2.2k),Retail | Dubai Marina +150 other locations,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
Quest Global,3.6,(2.2k),IT Services & Consulting | Singapore +36 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Fiserv,3.3,(2.2k),FinTech | Brookfield +31 other locations,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Blue Dart Express,4.1,(2.2k),Logistics | Mumbai +244 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Max Healthcare,4.1,(2.2k),Healthcare | Delhi/NCR +62 other locations,"Skill Development / Learning, Job Security, Company Culture",
AGS Health,4.0,(2.2k),Analytics & KPO | Washington DC +45 other locations,"Job Security, Company Culture, Skill Development / Learning",
Suzlon Group,4.1,(2.2k),Power | Pune +114 other locations,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal
BlackBuck,3.8,(2.2k),Internet | Bangalore +333 other locations,,"Job Security, Promotions / Appraisal"
IKS Health,3.6,(2.2k),BPO | Mumbai +21 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Domino's Pizza,4.0,(2.2k),Ypsilanti +226 other locations,"Skill Development / Learning, Salary & Benefits",
Bajaj Electricals,4.0,(2.1k),Consumer Electronics & Appliances | Mumbai +202 other locations,"Salary & Benefits, Work Life Balance, Company Culture",Promotions / Appraisal
Zomato,3.8,(2.1k),Internet | Gurgaon +194 other locations,,"Promotions / Appraisal, Job Security"
KocharTech,4.0,(2.1k),IT Services & Consulting | Gurgaon/Gurugram +24 other locations,"Skill Development / Learning, Company Culture, Job Security",
Axis Direct,3.9,(2.1k),Financial Services | San Mateo +260 other locations,,Promotions / Appraisal
PhonePe,4.0,(2.1k),FinTech | Bangalore +266 other locations,"Salary & Benefits, Company Culture, Skill Development / Learning",
G4S,4.0,(2.1k),Law Enforcement & Security | Gurgaon/Gurugram +142 other locations,"Work Life Balance, Salary & Benefits, Job Security",Promotions / Appraisal
Sterlite Technologies,3.8,(2.1k),Hardware & Networking | Pune +88 other locations,,"Promotions / Appraisal, Job Security"
McDonald's,4.1,(2.1k),Chicago +140 other locations,"Skill Development / Learning, Company Culture, Job Security",
Capgemini Engineering,3.5,(2.1k),Bangalore Rural +25 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Britannia,4.1,(2.1k),FMCG | Bengaluru +246 other locations,"Job Security, Skill Development / Learning",
Micro Labs,3.7,(2.1k),Pharma | Bangalore/Bengaluru +133 other locations,,"Salary & Benefits, Promotions / Appraisal, Company Culture"
Shree Cement,3.8,(2.1k),Building Material | Kolkata +221 other locations,,"Promotions / Appraisal, Job Security"
XpressBees,3.7,(2.1k),Pune +251 other locations,,"Promotions / Appraisal, Company Culture, Salary & Benefits"
KPMG Global Services,3.6,(2.1k),Management Consulting | Noida +33 other locations,Job Security,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Exide Industries,3.5,(2.1k),Auto Components | Kolkata +192 other locations,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
TVS Supply Chain Solutions,3.9,(2k),Chennai +138 other locations,,"Promotions / Appraisal, Salary & Benefits"
Patanjali Ayurved,4.0,(2k),FMCG | Haridwar +265 other locations,"Work Life Balance, Job Security",Promotions / Appraisal
Fujitsu,3.8,(2k),IT Services & Consulting | Bangalore/Bengaluru +33 other locations,"Work Life Balance, Company Culture",Promotions / Appraisal
KFintech,3.6,(2k),Hyderabad +103 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Huawei Technologies,4.0,(2k),Telecom | Gurgaon/Gurugram +101 other locations,"Salary & Benefits, Skill Development / Learning",Job Security
Mahindra Logistics,3.9,(2k),Logistics | Mumbai +140 other locations,Skill Development / Learning,Promotions / Appraisal
Yazaki,3.8,(2k),Auto Components | Tokyo +73 other locations,,Promotions / Appraisal
DS Group,4.1,(2k),FMCG | Noida +225 other locations,"Work Life Balance, Job Security, Salary & Benefits",Promotions / Appraisal
Voltas,4.0,(2k),Consumer Electronics & Appliances | Mumbai +181 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
